Borough,Neighborhood,Income
Brooklyn,Bath Beach,54041
Brooklyn,Bay Ridge,72314
Brooklyn,Bedford-Stuyvesant,47706
Brooklyn,Bensonhurst,49785
Brooklyn,Bergen Beach,81399
Brooklyn,Boerum Hill,124996
Brooklyn,Borough Park,49785
Brooklyn,Brighton Beach,52538
Brooklyn,Brooklyn Heights,124996
Brooklyn,Brownsville,26239
Brooklyn,Bushwick,36404
Brooklyn,Canarsie,67669
Brooklyn,Carroll Gardens,100213
Brooklyn,Clinton Hill,93434
Brooklyn,Cobble Hill,124996
Brooklyn,Columbia St,124996
Brooklyn,Coney Island,100213
Brooklyn,Crown Heights,52917
Brooklyn,Cypress Hills,40733
Brooklyn,Downtown Brooklyn,124996
Brooklyn,DUMBO,124996
Brooklyn,Dyker Heights,67911
Brooklyn,East Flatbush,51277
Brooklyn,East New York,37243
Brooklyn,Flatbush,52052
Brooklyn,Flatlands,74840
Brooklyn,Floyd Bennett Field,81399
Brooklyn,Fort Greene,124996
Brooklyn,Fort Hamilton,72314
Brooklyn,Gerritsen Beach,60814
Brooklyn,Gowanus,122002
Brooklyn,Gravesend,50108
Brooklyn,Green-Wood Cemetery,123583
Brooklyn,Greenpoint,85111
Brooklyn,Jamaica Bay,59431
Brooklyn,Kensington,49541
Brooklyn,Manhattan Beach,52538
Brooklyn,Marine Park,81399
Brooklyn,Midwood,49541
Brooklyn,Mill Basin,81399
Brooklyn,Navy Yard,56708
Brooklyn,Park Slope,123583
Brooklyn,Plum Beach,52538
Brooklyn,Prospect Heights,52917
Brooklyn,Prospect Park,52917
Brooklyn,Prospect-Lefferts Gardens,55862
Brooklyn,Red Hook,100213
Brooklyn,Sea Gate,33131
Brooklyn,Sheepshead Bay,52538
Brooklyn,South Slope,123583
Brooklyn,Sunset Park,55317
Brooklyn,Vinegar Hill,124996
Brooklyn,Williamsburg,71225
Brooklyn,Windsor Terrace,123583
