,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bay Ridge,40.625801065010656,-74.03062069353813,Pilo Arts Day Spa and Salon,40.62474788273414,-74.03059056940135,Spa
1,Bay Ridge,40.625801065010656,-74.03062069353813,Bagel Boy,40.627896,-74.029335,Bagel Shop
2,Bay Ridge,40.625801065010656,-74.03062069353813,Leo's Casa Calamari,40.6242,-74.030931,Pizza Place
3,Bay Ridge,40.625801065010656,-74.03062069353813,Cocoa Grinder,40.623966776558476,-74.0308626813129,Juice Bar
4,Bay Ridge,40.625801065010656,-74.03062069353813,Pegasus Cafe,40.623168349068536,-74.0311862390966,Breakfast Spot
5,Bay Ridge,40.625801065010656,-74.03062069353813,Ho' Brah Taco Joint,40.62295987421396,-74.03137094766794,Taco Place
6,Bay Ridge,40.625801065010656,-74.03062069353813,A.L.C. Italian Grocery,40.62305051681447,-74.03122367666245,Grocery Store
7,Bay Ridge,40.625801065010656,-74.03062069353813,Karam,40.62293134278153,-74.02831552630435,Middle Eastern Restaurant
8,Bay Ridge,40.625801065010656,-74.03062069353813,Georgian Dream Cafe and Bakery,40.625586,-74.030196,Caucasian Restaurant
9,Bay Ridge,40.625801065010656,-74.03062069353813,Windy City Ale House,40.62811715828623,-74.0291280171792,Sports Bar
10,Bay Ridge,40.625801065010656,-74.03062069353813,Caffe Café,40.62494582940274,-74.03040439118276,Coffee Shop
11,Bay Ridge,40.625801065010656,-74.03062069353813,Mimi Nails,40.62257064456921,-74.03147660099737,Spa
12,Bay Ridge,40.625801065010656,-74.03062069353813,The Bookmark Shoppe,40.62457650083076,-74.0305618421461,Bookstore
13,Bay Ridge,40.625801065010656,-74.03062069353813,Brooklyn Market,40.626939,-74.02994799999999,Grocery Store
14,Bay Ridge,40.625801065010656,-74.03062069353813,The Kettle Black,40.62283909856897,-74.03141082168587,Bar
15,Bay Ridge,40.625801065010656,-74.03062069353813,XIN,40.62508203621133,-74.0304936920825,Chinese Restaurant
16,Bay Ridge,40.625801065010656,-74.03062069353813,Verrazano Vision,40.624434,-74.03041,Optical Shop
17,Bay Ridge,40.625801065010656,-74.03062069353813,Blue Zoo Lounge,40.62502995433233,-74.03055409884608,Lounge
18,Bay Ridge,40.625801065010656,-74.03062069353813,Elia Restaurant,40.62309044402409,-74.03115569866006,Greek Restaurant
19,Bay Ridge,40.625801065010656,-74.03062069353813,Blue Door Souvlakia,40.624567,-74.030311,Greek Restaurant
20,Bay Ridge,40.625801065010656,-74.03062069353813,Uncle Louie G's,40.62278367167344,-74.03141415087794,Ice Cream Shop
21,Bay Ridge,40.625801065010656,-74.03062069353813,Tuscany Grill,40.62291326029698,-74.03138652017468,Italian Restaurant
22,Bay Ridge,40.625801065010656,-74.03062069353813,Peppino's,40.6298508137169,-74.02848135082027,Pizza Place
23,Bay Ridge,40.625801065010656,-74.03062069353813,RED OAK Restaurant & Bar & Hookah Lounge,40.625446614320815,-74.03024585189742,Hookah Bar
24,Bay Ridge,40.625801065010656,-74.03062069353813,Nonno's Pizza,40.62164967557811,-74.03185368050534,Pizza Place
25,Bay Ridge,40.625801065010656,-74.03062069353813,Inaka,40.625140559775616,-74.03041782134507,Sushi Restaurant
26,Bay Ridge,40.625801065010656,-74.03062069353813,HoM Bay Ridge,40.62184719696941,-74.03177563511296,Tea Room
27,Bay Ridge,40.625801065010656,-74.03062069353813,Greenhouse Cafe,40.62954152835763,-74.02851357046862,American Restaurant
28,Bay Ridge,40.625801065010656,-74.03062069353813,Coffee Rx,40.62211486513489,-74.03190841796363,Café
29,Bay Ridge,40.625801065010656,-74.03062069353813,Latoue Nail Spa,40.6262390783683,-74.03001544766258,Spa
30,Bay Ridge,40.625801065010656,-74.03062069353813,Chadwick's Restaurant,40.621449623364306,-74.03196395076446,American Restaurant
31,Bay Ridge,40.625801065010656,-74.03062069353813,Sofia Restorante Italiano,40.62484745920055,-74.03052232818622,Italian Restaurant
32,Bay Ridge,40.625801065010656,-74.03062069353813,The Green Spa and Wellness Center,40.62184635702681,-74.0316708383994,Spa
33,Bay Ridge,40.625801065010656,-74.03062069353813,Lamoza Hookah Lounge,40.62986503444392,-74.02849452703252,Hookah Bar
34,Bay Ridge,40.625801065010656,-74.03062069353813,Zio Toto,40.62479085034183,-74.03055087900958,Italian Restaurant
35,Bay Ridge,40.625801065010656,-74.03062069353813,Top Thai,40.62323607887372,-74.02817264059682,Thai Restaurant
36,Bay Ridge,40.625801065010656,-74.03062069353813,Pink & White Nails,40.622532797931896,-74.03146307176664,Spa
37,Bay Ridge,40.625801065010656,-74.03062069353813,GameStop,40.622195328982905,-74.02720246900225,Video Game Store
38,Bay Ridge,40.625801065010656,-74.03062069353813,86 Noodles,40.622572519884045,-74.02842260569763,Chinese Restaurant
39,Bay Ridge,40.625801065010656,-74.03062069353813,DII (Deals and Discounts Store #29),40.621941586790875,-74.02866517672703,Department Store
40,Bay Ridge,40.625801065010656,-74.03062069353813,Plaka Taverna,40.62248624337034,-74.02846542169956,Greek Restaurant
41,Bay Ridge,40.625801065010656,-74.03062069353813,Carvel Ice Cream,40.623094645120126,-74.03124488518532,Ice Cream Shop
42,Bay Ridge,40.625801065010656,-74.03062069353813,Cebu' Bar & Bistro,40.62181234249646,-74.03172698590136,New American Restaurant
43,Bay Ridge,40.625801065010656,-74.03062069353813,Pho Hoai Bay Ridge,40.62237907678971,-74.02855610991112,Vietnamese Restaurant
44,Bay Ridge,40.625801065010656,-74.03062069353813,Lobo Loco,40.62356257001225,-74.03104678221119,Mexican Restaurant
45,Bay Ridge,40.625801065010656,-74.03062069353813,H & L Bagels,40.621624684758785,-74.03183112853934,Bagel Shop
46,Bay Ridge,40.625801065010656,-74.03062069353813,Kaleidoscope Toy Store,40.622179846597675,-74.03164945621701,Toy / Game Store
47,Bay Ridge,40.625801065010656,-74.03062069353813,The Pearl Room,40.62393563143695,-74.03097905585743,Seafood Restaurant
48,Bay Ridge,40.625801065010656,-74.03062069353813,Giacomo's Wood Fired Pizza & Trattoria,40.62853486510589,-74.02905124266296,Italian Restaurant
49,Bay Ridge,40.625801065010656,-74.03062069353813,Subway,40.622358,-74.031248,Sandwich Place
50,Bay Ridge,40.625801065010656,-74.03062069353813,Victoria's Secret,40.62224,-74.027033,Lingerie Store
51,Bay Ridge,40.625801065010656,-74.03062069353813,Gap Outlet,40.62247628018282,-74.02770231903379,Clothing Store
52,Bay Ridge,40.625801065010656,-74.03062069353813,Omiya,40.622329157515146,-74.02857550374559,Sushi Restaurant
53,Bay Ridge,40.625801065010656,-74.03062069353813,Bombay Grill,40.622371,-74.03179899999999,Indian Restaurant
54,Bay Ridge,40.625801065010656,-74.03062069353813,The Children's Place,40.622522679371755,-74.02771480654002,Kids Store
55,Bay Ridge,40.625801065010656,-74.03062069353813,Status Q,40.62590607124746,-74.03019217924287,Pool Hall
56,Bay Ridge,40.625801065010656,-74.03062069353813,Walgreens,40.628638,-74.028927,Pharmacy
57,Bay Ridge,40.625801065010656,-74.03062069353813,Auntie Anne's,40.622291,-74.028121,Snack Place
58,Bay Ridge,40.625801065010656,-74.03062069353813,Kathy's Dumplings,40.627893600787424,-74.02927534109664,Dim Sum Restaurant
59,Bay Ridge,40.625801065010656,-74.03062069353813,Duane Reade,40.6220933,-74.0276287,Pharmacy
60,Bay Ridge,40.625801065010656,-74.03062069353813,The Pour House of Bay Ridge,40.62851661943293,-74.0289634772342,Bar
61,Bay Ridge,40.625801065010656,-74.03062069353813,Harp Bar Brooklyn,40.62978871192184,-74.02853333491446,Bar
62,Bay Ridge,40.625801065010656,-74.03062069353813,Cinnabon,40.623156,-74.031459,Sandwich Place
63,Bay Ridge,40.625801065010656,-74.03062069353813,Taco Bell,40.62191824000764,-74.02853373126436,Fast Food Restaurant
64,Bay Ridge,40.625801065010656,-74.03062069353813,T-Mobile,40.62226887183027,-74.02727819913603,Mobile Phone Shop
65,Bay Ridge,40.625801065010656,-74.03062069353813,My Thai Restaurant,40.62916001953864,-74.02868914475027,Thai Restaurant
66,Bay Ridge,40.625801065010656,-74.03062069353813,New York Sports Clubs,40.6223643,-74.0271629,Gym / Fitness Center
67,Bay Ridge,40.625801065010656,-74.03062069353813,Mattress Firm,40.623571,-74.028008,Mattress Store
68,Bay Ridge,40.625801065010656,-74.03062069353813,Best Western Gregory Hotel,40.62435700608523,-74.02735953514821,Hotel
69,Bay Ridge,40.625801065010656,-74.03062069353813,Key Food Fresh & Natural,40.628204,-74.029461,Supermarket
70,Bay Ridge,40.625801065010656,-74.03062069353813,Cappuccino Cafe,40.62951041286022,-74.02853892492205,American Restaurant
71,Bay Ridge,40.625801065010656,-74.03062069353813,Ben's Pizzeria,40.62640416738638,-74.02975174836288,Pizza Place
72,Bay Ridge,40.625801065010656,-74.03062069353813,Zitelli's Thin Crust Pizza and Bar,40.62355539009036,-74.03096914529038,Italian Restaurant
73,Bay Ridge,40.625801065010656,-74.03062069353813,Lola's boutique,40.624137136207246,-74.03077841530356,Boutique
74,Bay Ridge,40.625801065010656,-74.03062069353813,Vela Tapas Bar,40.62546292253087,-74.03016093194863,Spanish Restaurant
75,Bay Ridge,40.625801065010656,-74.03062069353813,"3rd Ave Feast - Bay Ridge, Brooklyn",40.62441142229029,-74.0306015143545,Karaoke Bar
76,Bay Ridge,40.625801065010656,-74.03062069353813,Jen Bre Printing,40.627390000000005,-74.029776,Paper / Office Supplies Store
77,Bay Ridge,40.625801065010656,-74.03062069353813,Kiki Nail Spa,40.625871000000004,-74.03039799999999,Cosmetics Shop
78,Bay Ridge,40.625801065010656,-74.03062069353813,Ridgewood Savings Bank,40.623796,-74.031114,Bank
79,Bay Ridge,40.625801065010656,-74.03062069353813,Golden Dragon,40.62379133647266,-74.03104217061974,Asian Restaurant
80,Bay Ridge,40.625801065010656,-74.03062069353813,Luliano’s,40.6283,-74.028896,Italian Restaurant
81,Bay Ridge,40.625801065010656,-74.03062069353813,Off Shore Restaurant,40.62883,-74.029172,Diner
82,Bay Ridge,40.625801065010656,-74.03062069353813,Fort Hamilton Playground,40.62651334866671,-74.03602782815183,Playground
83,Bay Ridge,40.625801065010656,-74.03062069353813,Russell Pedersen Playground,40.62653498751833,-74.03607812698527,Playground
84,Bay Ridge,40.625801065010656,-74.03062069353813,Fort Hamtilton Handball Court,40.62599136462126,-74.03629783558613,Park
85,Bay Ridge,40.625801065010656,-74.03062069353813,The Lipstick Box,40.621484,-74.03155100000001,Cosmetics Shop
86,Bensonhurst,40.61100890202044,-73.99517998380729,Villa Fiorita,40.611931,-73.997854,Italian Restaurant
87,Bensonhurst,40.61100890202044,-73.99517998380729,il Colosseo,40.61222053559676,-73.9974361996248,Italian Restaurant
88,Bensonhurst,40.61100890202044,-73.99517998380729,Coco Nails,40.614735,-73.99462044239044,Cosmetics Shop
89,Bensonhurst,40.61100890202044,-73.99517998380729,Il Fornaretto Bakery,40.613940136924604,-73.99935895452214,Bakery
90,Bensonhurst,40.61100890202044,-73.99517998380729,Frank And Sal's Prime Meats,40.61023238969865,-73.99922681436966,Butcher
91,Bensonhurst,40.61100890202044,-73.99517998380729,Bagel Town,40.61019916148078,-73.98950989286807,Bagel Shop
92,Bensonhurst,40.61100890202044,-73.99517998380729,Tenzan,40.6152654172336,-73.99404636075737,Sushi Restaurant
